id	stream	commit	status	claim	test	effect	gates	note
U3	micro	3d227a8	discard	'Family member already has an account' barrier (fin11f) among unbanked is cited more by women than men (2024, pooled)	weighted rate of fin11f==1 among account==0, split by female (1=F/2=M)	women=24.8pp vs men=27.9pp; diff=-3.1pp (opposite direction, below 5pp threshold)	M2 ok (n=13026 women / 7863 men, both >>100); M3 n/a (no country-file equivalent)	clean null; slightly reversed and below threshold; classic 'women mediated through household account' pattern absent in pooled economy-equal 2024 cross-section (may be region-specific; caveat #3)
E11	hypothesis	22b2b85	keep-window	Formal borrowing and formal saving deepen together 2021-24 (dev panel)	weighted corr d(fin22a_22a1_22g_d)~d(fin17a_17a1_d) 2021-24 + terciles	r=0.403 (n=76); d_borrow terciles low/mid/high mean d_saving = +5.8/+17.2/+13.4pp	G3 ok (both headlines), G4 ok (76c, 97.4%), G6 ok sign+magnitude-retaining (0.403->0.471)	descriptive; broad balance-sheet deepening, not saving-specific; account growth/income shocks plausible common drivers (noted, not controlled); tercile shape non-monotonic (mid>high) but corr+gates clean
U4	micro	22b2b85	keep	Formal saving (fin17a) is strongly education-graded; least-educated barely reached (2024, pooled)	weighted rate of fin17a==1 by educ (1=primary-/2=secondary/3=tertiary), all adults	tertiary=46.2pp vs primary=12.0pp; diff=+34.1pp (monotonic 12.0/22.6/46.2)	M2 ok (n=35073/53354/14103, all >>100); M3 n/a (fin17a-only, no exact country equiv; subgroup split)	single 2024 cross-section, descriptive only; formal-saving depth margin far less reached among primary-educ adults; complements M1's income gradient on the access barrier
E12	hypothesis	a430a83	keep-general	Digital-payment adoption growth co-moves with the formal-saving surge 2021-24 (dev panel)	weighted corr d(g20_any)~d(fin17a_17a1_d) 2021-24 + terciles	r=0.370 (n=76); d_g20 terciles low/mid/high mean d_saving = +2.8/+16.7/+14.4pp	G3 ok (both headlines), G4 ok (76c, 97.4%), G6 ok sign+magnitude-retaining (0.370->0.782, jackknife grows)	descriptive; adds digital-payment usage to E1(MM)/E10(wages)/E11(borrowing) as a 4th broad-digitalization channel of the surge; account growth plausible common driver (noted, not controlled); tercile shape concave (mid>high) but corr+gates clean | PROMOTED to keep-general by E28 (2026-08-02): replicated on 2017->2021 (r=+0.454/+0.678/+0.685 for MM/wage/digital-pay), G6 sign-stable, retention >=0.61.
U5	micro	a430a83	discard	'Too far away' barrier (fin11b) among unbanked is cited more by rural than urban adults (2024, pooled)	weighted rate of fin11b==1 among account==0, split by urbanicity (1=rural/2=urban)	rural=36.0pp vs urban=36.8pp; diff=-0.8pp (opposite direction, far below 5pp threshold)	M2 ok (n=12992 rural / 7859 urban, both >>100); M3 n/a (no country-file equivalent)	clean null; the physical-distance barrier is cited at near-identical rates by rural and urban unbanked in the pooled economy-equal 2024 cross-section (within-country rural/urban gaps may wash out under pooling; caveat #3)
E13	hypothesis	704f124	keep-window	FI-account and mobile-money account growth are complements (co-development), not substitutes (leapfrogging), 2021-24 (dev panel)	weighted corr d(fiaccount_t_d)~d(mobileaccount_t_d) 2021-24 + terciles	r=0.435 (n=59); d_fi terciles low/mid/high mean d_mm = -2.8/+14.6/+12.3pp	G3 ok (both headlines), G4 ok (62c, 71.3% pop), G6 ok sign+magnitude-retaining (0.435->0.347, above 0.5x floor 0.218)	descriptive; positive co-movement supports broad-digitalization/co-development reading over substitution/leapfrogging; big-economy caveat but jackknife retains magnitude; tercile shape concave (mid>high)
U6	micro	36da104	discard	Usage-side gender gap conditional on access: anydigpayment lower among women than men among accountholders (2024, pooled)	weighted rate of anydigpayment among account==1, split by female (1=F/2=M)	men=86.8pp vs women=83.4pp; diff=+3.4pp (right direction but below 5pp threshold)	M2 ok (n=34249 women / 32882 men, both >>100); M3 n/a (within-accountholder split, no country equiv)	gate-clean, right direction, below threshold; conditional on holding an account the usage-side gender gap is small (3.4pp), much smaller than access-margin gaps; descriptive single 2024 cross-section
E14	hypothesis	b05785d	keep-window	Digitalization on-ramps are bundled: mobile-money and digital-payment usage grow together 2021-24 (dev panel)	weighted corr d(mobileaccount_t_d)~d(g20_any) 2021-24 + terciles	r=0.600 (n=58); d_mm terciles low/mid/high mean d_g20 = -6.0/+10.4/+9.7pp	G3 ok (both headlines), G4 ok (76c, 97.4% pop), G6 ok sign+magnitude-retaining (0.600->0.775, jackknife grows)	descriptive; Delta(mobile-money) & Delta(g20) themselves strongly co-move, so E1/E12's separate 'channels' are one bundled digitalization phenomenon across access & usage margins; account growth plausible common driver (noted, not controlled); tercile shape concave (mid>high)
U7	micro	3babfc1	keep	Account ownership (access margin) is strongly education-graded; even wider in pp than U4's formal-saving depth gradient (2024, pooled)	weighted rate of account==1 by educ (1=primary-/2=secondary/3=tertiary), all adults	tertiary=93.4pp vs primary=51.9pp; diff=+41.5pp (monotonic 51.9/77.7/93.4)	M2 ok (n=38398/74624/30480, all >>100); M3 n/a (within-educ subgroup split, no exact country equiv)	single 2024 cross-section, descriptive only; education stratifies access even more (41.5pp) than depth (U4 formal-saving 34.1pp) in absolute pp -- the pre-registered 'less sharply' secondary guess was wrong (bases differ: account 52-93pp vs saving 12-46pp), but the >=5pp keep condition holds; complements U4/M1
E15	hypothesis	7f44e11	discard	Resilience change 2021-24 tracks the formal-saving surge where it landed (dev panel)	weighted corr d(fin24aSD_ND)~d(fin17a_17a1_d) 2021-24 + terciles	r=0.031 (n=76); d_sav terciles low/mid/high mean d_res = -3.0/+3.9/+0.7pp (non-monotonic)	G3 ok (both headlines), G4 ok (76c, 97.4%), G6 mechanically ok (0.031->0.133) but moot at this magnitude	clean informative null: even where saving surged most, resilience did not move within 3 years; with E2 (d_res orthogonal to d_mm) and E7 (emergency-fund composition shifted) the story sharpens to a saving-vs-resilience gap; descriptive, window may be too short for stock accumulation
U8	micro	7f44e11	discard	Depth-side gender gap conditional on access: formal saving (fin17a) lower among women than men among accountholders (2024, pooled)	weighted rate of fin17a==1 among account==1, split by female (1=F/2=M)	men=34.5pp vs women=29.5pp; unrounded diff=+4.96pp (right direction, just below 5pp threshold)	M2 ok (n=34249 women / 32882 men, both >>100); M3 n/a (within-accountholder split, no country equiv)	borderline discard by the pre-registered threshold (4.955<5); depth-side conditional gap larger than U6's usage-side 3.4pp but still small vs access-margin gradients (U4/U7 34-42pp); conditional-on-access gender gaps are consistently small; descriptive single 2024 cross-section
E16	hypothesis	5388c2e	discard	Account-ownership growth co-moves with the formal-saving surge 2021-24 (dev panel)	weighted corr d(account_t_d)~d(fin17a_17a1_d) 2021-24 + terciles	r=0.198 (n=76); below 0.30 threshold; d_account terciles low/mid/high mean d_saving = +15.4/+9.6/+14.3pp (non-monotonic)	G3 ok (both headlines), G4 ok (77c, 100%), G6 sign-stable and jackknife GROWS (0.198->0.741 drop-top-5)	informative discard: the pop-weighted account~saving co-movement is weak because the largest economies (most account growth) are where formal saving surged LEAST — drop them and r jumps to 0.741; the saving surge is a depth phenomenon not reducible to raw account expansion, partly relieving the standing 'account growth common driver' caveat on E1/E10-E14; descriptive
U9	micro	7f3e247	keep	Documentation barrier (fin11d) among unbanked is education-graded; least-educated cite it most (2024, pooled)	weighted rate of fin11d==1 among account==0, by educ (1=primary-/2=secondary/3=tertiary)	primary=54.2pp vs tertiary=46.0pp; diff=+8.2pp (monotonic 54.2/48.6/46.0)	M2 ok (n=9714/9995/1086, all >>100); M3 n/a (barrier-among-unbanked split, no country equiv)	single 2024 cross-section, descriptive only; documentation barrier has a high base rate (~half of unbanked cite it) and education grades it modestly (+8.2pp), the natural stratifier for a formal-paperwork barrier; complements M1 (income grades money barrier +10.3pp) vs U3/U5 barrier nulls
E17	hypothesis	ae153f4	discard	Formal-saving surge 2021-24 is a catch-up phenomenon (lower 2021 level -> larger gain, dev panel)	weighted corr saving_2021 level ~ d(fin17a_17a1_d) 2021-24 + terciles; account_t_d same test as benchmark	r=+0.480 (n=76) — OPPOSITE sign (divergence, not catch-up); 2021-level terciles low/mid/high mean change = +8.5/+13.0/+15.8pp; account benchmark r=-0.301 (n=77)	G3 ok (both headlines), G4 ok (76c, 97.4%), G6 FAIL for saving (0.480 -> -0.135 drop-top-5, retention -0.281); account benchmark G6 ok (-0.301 -> -0.457)	double rejection: pre-registered catch-up direction rejected, and the observed opposite (divergence — saving deepened fastest where it was already deepest) is a big-country artifact that flips sign without the top-5, so no general claim either way; the account benchmark DOES show gate-clean catch-up (r=-0.301, jackknife grows), so access and depth margins behave oppositely on level-vs-change — access converges, depth does not; declared regression-to-mean confound applies to both equally and cannot explain a positive saving r
U10	micro	1bda919	keep	Conditional on holding an account, digital-payment usage is strongly education-graded (2024, pooled)	weighted rate of anydigpayment==1 among account==1, by educ (1=primary-/2=secondary/3=tertiary)	tertiary=94.1pp vs primary=77.3pp; diff=+16.8pp (monotonic 77.3/87.7/94.1); unconditional context 37.3/60.4/84.0 (gap 46.7pp)	M2 ok (n=17067/37350/12478, all >>100); M3 n/a (within-accountholder split, no country equiv)	single 2024 cross-section, descriptive only; answers the open question left by U6/U8 — 'conditional on access, gaps are small' is specific to GENDER (3.4pp/4.96pp), not general: education still grades usage by 16.8pp among accountholders, though access does most of the sorting (unconditional gap 46.7pp shrinks to 16.8pp, ~64% absorbed); complements U4/U7
E18	hypothesis	2593a05	discard	The formal-saving surge 2021-24 displaced borrowing as an emergency-funds source (dev panel)	weighted corr d(fin24bor)~d(fin17a_17a1_d) 2021-24 + terciles; other sources reported descriptively	r=+0.069 (n=76) — near-zero and WRONG sign (borrowing did not recede); d_sav terciles low/mid/high mean d_bor = +1.0/-0.3/+4.0pp (high tercile borrowing rose); descriptive context: d_sell r=-0.372 (ret 0.41), d_work r=-0.489 (ret 0.28), d_fam r=+0.067	G3 declared n/a (fin24bor composition indicator, no variant; fin17a headline ok), G4 ok (76c, 97.4%), G6 FAIL for borrow (0.069->-0.021)	clean informative null: borrowing was NOT the displaced source where saving surged (mirror of E7 which found savings became a BIGGER source r=0.541); descriptively the co-declining sources were selling assets and extra work, not borrowing, but neither survives G6 magnitude-retention (0.41/0.28<0.5) so no general claim; compositional-complementarity caveat declared; descriptive
U11	micro	e2f1e3b	discard	Mobile-only accountholders are drawn more from the poorest two income quintiles than bank-only (2024, pooled)	weighted share inc_q in {1,2} among mobile-only (account_mob==1 & account_fin==0) vs bank-only (account_fin==1 & account_mob==0)	mobile-only=33.8pp vs bank-only=38.8pp; diff=-5.0pp (OPPOSITE direction — mobile-only slightly LESS poor); quintile profile mobile-only q1-q5=15/19/22/22/20 vs bank-only 19/20/20/20/20	M2 ok (n=10340 mobile-only / 24037 bank-only, both >>100); M3 n/a (within-accountholder composition split, no country equiv)	"informative discard: M2 s ""mobile money as on-ramp for the underserved"" holds on AGE and EDUCATION but NOT income — mobile-only accountholders skew young and less-educated yet are marginally less poor than bank-only; caveat: inc_q is within-economy relative quintile, economy-equal pooling mixes economies (caveat #3); descriptive single 2024 cross-section"
E19	hypothesis	9e5fe92	discard	Formal-saving surge co-moves with FALLING account inactivity (activation) 2021-24 (dev panel)	weighted corr d(inactive_t_d)~d(fin17a_17a1_d) 2021-24 + terciles	r=+0.160 (n=76) — WRONG sign (positive, hypothesized negative), below threshold; d_sav terciles low/mid/high mean d_inactive = +0.5/-1.7/-4.1pp (monotonic, hypothesized dir)	G3 ok (both headlines), G4 ok (76c, 97.4%), G6 sign-FLIPS +0.160->-0.379 drop-top-5 (retention -2.37)	mirror of E16: biggest economies (most account growth, saving surged LEAST) drag pop-weighted r positive; drop them and activation link appears (r=-0.379, terciles monotonic) but per E16/E17 treatment the drop-top-5 sign is a big-country-story-in-reverse, not a general claim; descriptive
U12	micro	9e5fe92	discard	'Too expensive' cost barrier (fin11c) among unbanked is income-graded, poorest highest (2024, pooled)	weighted rate of fin11c==1 among account==0, by inc_q (1=poorest..5=richest)	q1=23.7pp vs q5=23.3pp; diff=+0.4pp (flat across income: 23.7/22.8/24.1/23.1/23.3)	M2 ok (n=3352-4894 per quintile, all >>100); M3 n/a (barrier-among-unbanked split, no country equiv)	clean informative null: unlike M1's steeply income-graded money barrier (+10.3pp), the cost-of-service barrier is flat ~23pp across the income distribution — cost is a fixed product feature cited regardless of the respondent's own means; complements M1/U9 gradients vs U3/U5 nulls; descriptive single 2024 cross-section
E20	hypothesis	b6f8cf8	discard	The 2021-24 formal-saving surge widened the within-country income gap in saving proportionally to its size (dev panel)	weighted corr d(fin17a_17a1_d overall)~d(gap = richest60 - poorest40) 2021-24 + terciles	r=+0.179 (n=55); below 0.30 threshold; d_sav terciles low/mid/high mean d_gap = +1.2/+8.5/+5.5pp (non-monotonic); descriptive context: dev aggregate poor40 18.4->29.2pp, rich60 32.8->49.7pp, GAP 14.4->20.5pp (+6.1pp)	G3 ok (headline fin17a_17a1_d for all three series), G4 ok (70c, 96.2% pop on income-slice frame), G5 n/a (no official within-country gap series), G6 ok sign-stable and jackknife GROWS (0.179->0.359)	first use of the country file's group=='income' slices; pre-registered dose-response FAILS (r sub-threshold, terciles non-monotonic: the biggest surges did not widen gaps the most) but the LEVEL fact is large and one-directional - the surge accrued ~1.6x more to the richest 60% (+16.9pp) than the poorest 40% (+10.8pp), widening the pop-weighted dev gap by 6.1pp; that level claim was pre-registered as descriptive context only, not as the keep statistic, so it is logged as context and left as a candidate own-right pre-registration; low-base arithmetic and account growth are declared uncontrolled confounds; descriptive
U13	micro	b6f8cf8	keep	Account ownership is strongly graded by labour-force status; adults out of the workforce are far less banked (2024, pooled)	weighted rate of account==1 by emp_in (1=in workforce/2=out of workforce), all adults	in-workforce=76.7pp vs out-of-workforce=61.7pp; diff=+15.0pp; secondary descriptive (depth margin): formal saving among ACCOUNTHOLDERS 34.2pp vs 20.9pp (+13.3pp)	M2 ok (n=83865 in / 56205 out, both >>100); M3 n/a (within-emp_in subgroup split, no country-file equivalent at this granularity)	single 2024 cross-section, descriptive only; first use of emp_in (last untouched demographic in micro.py); the labour-force gradient (15.0pp) is large but well below education's on the same access margin (U7 41.5pp) and above income-barrier gradients (M1 10.3pp); unlike gender (U6/U8 3-5pp), the gap does NOT collapse conditional on access - among accountholders the depth gap stays 13.3pp; declared caveat: 'out of workforce' is compositionally heterogeneous (students, retirees, homemakers, discouraged workers) and correlates with age/gender/education, so this is an association, not an employment effect
E21	hypothesis	e3805a5	discard	The 2021-24 widening of the within-country income gap in formal saving is genuine (scale-free) disequalization	pop-weighted mean d(log-odds gap) = d[logit(rich60)-logit(poor40)] 2021->2024 + level jackknife + sign share; secondary weighted corr d(saving overall)~d(log-odds gap) + terciles	PRIMARY mean dL=+0.109 (odds ratio x1.115), below +0.20 threshold; level jackknife FLIPS to -0.115 (drop-top-5); only 47.3% of economies widened (n=55). SECONDARY r=+0.176 (n=55), below 0.30. Exploratory context: dev aggregate ratio poorest40 x1.589 vs richest60 x1.516 (poorest grew proportionally FASTER); dL terciles low/mid/high = -0.050/+0.130/+0.140	G3 ok (headline fin17a_17a1_d all series), G4 ok (70c, 96.2% pop on income-slice frame), G5 n/a, G6 FAIL on secondary (+0.176 -> -0.149, sign flip, retention -0.85); primary level-jackknife sign-unstable	PEEK-DISCLOSED (amendment #1): E20's logged aggregate levels made the AGGREGATE ratio derivable by arithmetic, so that comparison is exploratory context and any keep would have been keep-exploratory -- moot, all three pre-registered conditions fail. Closes out the candidate E20 explicitly left open: the +6.1pp pp-scale widening (14.4->20.5) is LARGELY LOW-BASE ARITHMETIC, not scale-free disequalization -- on the log-odds scale the pop-weighted gap barely moved, under half of economies widened, and dropping the 5 largest economies flips the sign to narrowing. The surge was distributionally broad; E20's level fact should not be read as the rich pulling away. Logit clip [0.5,99.5]pp declared; descriptive only
U14	micro	e3805a5	keep	Among accountholding wage receivers, digital wage receipt (wages paid into the account rather than cash) is steeply education-graded (2024, pooled)	weighted rate of receive_wages==1 among account==1 & receive_wages in {1,2,3}, by educ (1=primary-/2=secondary/3=tertiary); secondary same split unconditional on account	tertiary=91.9pp vs primary=56.6pp; diff=+35.3pp (monotonic 56.6/80.6/91.9); unconditional 36.9/68.9/87.9 (gap 51.0pp) -> access absorbs only 31%; base rate 63.6pp of wage receivers paid into an account	M2 ok (n=3729/13759/5901 conditional, 5778/16018/6181 unconditional, all >>100); M3 n/a (conditional within-accountholder wage-receipt split, no country-file equivalent)	first use of receive_wages; coding inferred structurally (no codebook ships with the zip): 1=into account, 2=cash, 3=other/in-kind, 4=did not receive, 5=DK -- the same check killed the obvious design (receive_transfers==1 implies account==1 in 7184/7184 cases, circular). Individual-level counterpart of E10 (country-level wage digitalization ~ saving surge, r=0.791). Sharpens the conditional-on-access thread: gender gaps collapse (U6 3.4pp, U8 4.96pp), education gaps do not, and the WAGE-RECEIPT margin is the LEAST equalized by access of any tested (31% absorbed vs U10's 64%) -- plausibly because the employer, not the adult, picks the payment mode. Declared caveats: employer/sector attribute not individual choice; conditions on a post-treatment variable; formal-vs-informal composition uncontrolled. Single 2024 cross-section, descriptive only
E22	hypothesis	1bb3f78	keep-window	The E1 mobile-money~saving-surge co-movement is a general developing-world regularity, not a Sub-Saharan Africa story (dev panel, 2021-24)	weighted corr d(mobileaccount_t_d)~d(fin17a_17a1_d) computed separately within SSA and within the five other developing regions pooled; E1 construction unchanged	SSA r=+0.923 (n=25); rest-of-developing r=+0.676 (n=33); full-panel replication r=+0.719 (n=58, matches E1 exactly); d_mm terciles monotonic in BOTH subsamples (SSA -0.2/+10.5/+21.1pp; rest +3.0/+9.1/+12.5pp)	G3 ok (both headlines), G4 ok per subsample with declared min_countries=15 deviation (SSA 25c/99.5% regional pop; rest 37c/67.6%), G5 n/a, G6 ok in both (SSA 0.923->0.878 ret 0.95; rest 0.676->0.706 ret 1.04, jackknife grows)	first regional-split test in the ledger; closes the standing one-region alternative to E1 that G6 (a one-COUNTRY guard) could not address — the association is stronger in SSA but clearly present outside it and survives a drop-top-5 jackknife inside each subsample; descriptive association, account growth and common income shocks uncontrolled in both subsamples exactly as in E1
U15	micro	1bb3f78	keep	Conditional on holding an account, digital-payment use is age-graded, and access absorbs almost none of the gradient (2024, pooled)	weighted rate of anydigpayment==1 among account==1, by five age bands (15-25/26-35/36-50/51-65/65+); statistic (26-35)-(65+); same split unconditional for the absorption decomposition	conditional 86.9/88.2/84.9/82.6/77.8pp, (26-35)-(65+) = +10.3pp; unconditional 45.0/59.7/56.8/53.5/48.1pp (+11.6pp, replicates U2 exactly) -> access absorbs only 10%	M2 ok (n=6525-18436 per conditional band, all >>100); M3 n/a (within-accountholder split, no country-file equivalent)	single 2024 cross-section, descriptive only; completes the gender/education/age triad on one outcome — conditional on access the gender gap collapses (U6 3.4pp) and the education gap shrinks by ~64% (U10) but the AGE gap barely moves (10% absorbed), the least access-equalized margin of the three and lower even than U14 wage receipt (31%); the unconditional inverted-U flattens into a near-monotone decline after 26-35 among accountholders; caveat: age correlates with education, employment and account tenure, none controlled — association, not an age effect
E23	hypothesis	c91e103	keep-window	Mobile-money growth and digital-payment growth are two SEPARATE rails into the 2021-24 formal-saving surge, not one digitalization factor (dev panel)	weighted partial corr d(mobileaccount_t_d)~d(fin17a_17a1_d) controlling d(g20_any), pop-weighted LS residualization (E5b construction); symmetric reverse partial and a d(fin32_acc)-controlled partial reported descriptively	partial r=+0.509 (n=58); reverse partial (d_g20|d_mm)=+0.574; wage-digitalization-controlled partial=+0.337 (n=56); same-sample bivariates 0.719/0.751/0.600	G3 ok (3 headlines declared), G4 ok (58c, 100% pop share of the sample), G5 n/a, G6 ok sign-stable+magnitude-retaining (0.509->0.410, ret 0.81)	descriptive; neither rail absorbs the other -- E1 survives conditioning on E12's channel and vice versa; contemporaneous-delta control decomposes co-movement, identifies nothing; NOTE E12's logged r=+0.370 was on n=76, on this mobile-money-restricted n=58 subsample the same bivariate is +0.751 (sample composition, not a discrepancy)
U16	micro	66cd4ec	discard	The rural-urban gradient in digital-payment use persists conditional on holding an account (2024, pooled)	weighted rate of anydigpayment==1 among account==1, split by urbanicity (1=rural/2=urban); secondary same split unconditional, and the account rate itself by urbanicity	conditional urban-rural = +3.7pp (87.2 vs 83.5) -- below the 5pp threshold; unconditional +11.0pp (59.3 vs 48.3); ACCESS margin itself +10.3pp (76.6 vs 66.3); access absorbs 66% of the gradient	M2 ok (n=28836 urban / 37701 rural accountholders, and 41083/61165 unconditional, all >>100); M3 n/a (within-accountholder split, no country-file equivalent)	registered opposite outcome realised: urbanicity joins GENDER as an axis access equalizes (residual 3.7pp vs U6's 3.4pp), against education (U10 +16.8pp) and age (U15 +10.3pp); the rural-urban digital-payment gap is an ACCESS story, not a usage story; single 2024 cross-section, descriptive only; note U5 found the self-reported distance barrier flat rural/urban, so the access gap is not explained by stated distance
